,QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS,C_Midpoint,C_Spread
0,2016-01-20,96.79,2017-01-20,25.1,25.5,75.0,0.32883,0.77,25.3,0.3999999999999986
1,2016-01-20,96.79,2017-01-20,21.51,21.84,80.0,0.32319,0.83,21.675,0.3299999999999983
2,2016-01-20,96.79,2017-01-20,18.25,18.56,85.0,0.32009,0.88,18.405,0.3099999999999987
3,2016-01-20,96.79,2017-01-20,16.75,17.05,87.5,0.31782,0.9,16.9,0.3000000000000007
4,2016-01-20,96.79,2017-01-20,15.3,15.59,90.0,0.31582,0.93,15.445,0.28999999999999915
5,2016-01-20,96.79,2017-01-20,13.95,14.21,92.5,0.31267,0.96,14.08,0.26000000000000156
6,2016-01-20,96.79,2017-01-20,12.75,12.95,95.0,0.31286,0.98,12.85,0.1999999999999993
7,2016-01-20,96.79,2017-01-20,11.55,11.7,97.5,0.30928,1.01,11.625,0.14999999999999858
8,2016-01-20,96.79,2017-01-20,10.46,10.59,100.0,0.30723,1.03,10.525,0.129999999999999
9,2016-01-20,96.79,2017-01-20,8.45,8.61,105.0,0.30361,1.08,8.53,0.16000000000000014
10,2016-01-20,96.79,2017-01-20,6.74,6.86,110.0,0.29915,1.14,6.800000000000001,0.1200000000000001
11,2016-01-20,96.79,2017-01-20,5.3,5.45,115.0,0.29502,1.19,5.375,0.15000000000000036
12,2016-01-20,96.79,2017-01-20,4.15,4.24,120.0,0.29087,1.24,4.195,0.08999999999999986
13,2016-01-20,96.79,2017-01-20,3.2,3.29,125.0,0.2877,1.29,3.245,0.08999999999999986
14,2016-01-20,96.79,2017-01-20,2.44,2.55,130.0,0.28491,1.34,2.495,0.10999999999999988
