QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS
2016-01-20,96.79,2017-01-20,25.1,25.5,75.0,0.32883,0.77
2016-01-20,96.79,2017-01-20,21.51,21.84,80.0,0.32319,0.83
2016-01-20,96.79,2017-01-20,18.25,18.56,85.0,0.32009,0.88
2016-01-20,96.79,2017-01-20,16.75,17.05,87.5,0.31782,0.9
2016-01-20,96.79,2017-01-20,15.3,15.59,90.0,0.31582,0.93
2016-01-20,96.79,2017-01-20,13.95,14.21,92.5,0.31267,0.96
2016-01-20,96.79,2017-01-20,12.75,12.95,95.0,0.31286,0.98
2016-01-20,96.79,2017-01-20,11.55,11.7,97.5,0.30928,1.01
2016-01-20,96.79,2017-01-20,10.46,10.59,100.0,0.30723,1.03
2016-01-20,96.79,2017-01-20,8.45,8.61,105.0,0.30361,1.08
2016-01-20,96.79,2017-01-20,6.74,6.86,110.0,0.29915,1.14
2016-01-20,96.79,2017-01-20,5.3,5.45,115.0,0.29502,1.19
2016-01-20,96.79,2017-01-20,4.15,4.24,120.0,0.29087,1.24
2016-01-20,96.79,2017-01-20,3.2,3.29,125.0,0.2877,1.29
2016-01-20,96.79,2017-01-20,2.44,2.55,130.0,0.28491,1.34
