QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV,MONEYNESS
2016-01-20,96.79,2017-01-20,0.89,0.91,50.0,0.44126,0.52
2016-01-20,96.79,2017-01-20,1.26,1.29,55.0,0.42078,0.57
2016-01-20,96.79,2017-01-20,1.74,1.8,60.0,0.40352,0.62
2016-01-20,96.79,2017-01-20,2.4,2.49,65.0,0.38879,0.67
2016-01-20,96.79,2017-01-20,3.3,3.4,70.0,0.37716,0.72
2016-01-20,96.79,2017-01-20,4.4,4.49,75.0,0.36617,0.77
2016-01-20,96.79,2017-01-20,5.8,5.95,80.0,0.35755,0.83
2016-01-20,96.79,2017-01-20,7.5,7.65,85.0,0.34912,0.88
2016-01-20,96.79,2017-01-20,8.44,8.6,87.5,0.34493,0.9
2016-01-20,96.79,2017-01-20,9.55,9.65,90.0,0.34241,0.93
2016-01-20,96.79,2017-01-20,10.7,10.81,92.5,0.33994,0.96
2016-01-20,96.79,2017-01-20,11.9,12.04,95.0,0.33684,0.98
2016-01-20,96.79,2017-01-20,13.15,13.36,97.5,0.33399,1.01
2016-01-20,96.79,2017-01-20,14.51,14.76,100.0,0.33138,1.03
2016-01-20,96.79,2017-01-20,17.5,17.71,105.0,0.32641,1.08
2016-01-20,96.79,2017-01-20,20.75,20.99,110.0,0.3228,1.14
2016-01-20,96.79,2017-01-20,24.29,24.6,115.0,0.32109,1.19
2016-01-20,96.79,2017-01-20,28.04,28.35,120.0,0.31789,1.24
2016-01-20,96.79,2017-01-20,32.06,32.4,125.0,0.31712,1.29
2016-01-20,96.79,2017-01-20,36.35,36.69,130.0,0.32156,1.34
2016-01-20,96.79,2017-01-20,40.75,41.16,135.0,0.32687,1.39
2016-01-20,96.79,2017-01-20,45.25,45.65,140.0,0.3326,1.45
2016-01-20,96.79,2017-01-20,49.8,50.3,145.0,0.34056,1.5
