QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV
2016-01-20,96.79,2017-01-20,11.55,11.7,97.5,0.30928
2016-01-20,96.79,2017-01-20,10.46,10.59,100.0,0.30723
2016-01-20,96.79,2017-01-20,8.45,8.61,105.0,0.30361
2016-01-20,96.79,2017-01-20,6.74,6.86,110.0,0.29915
2016-01-20,96.79,2017-01-20,5.3,5.45,115.0,0.29502
2016-01-20,96.79,2017-01-20,4.15,4.24,120.0,0.29087
2016-01-20,96.79,2017-01-20,3.2,3.29,125.0,0.2877
2016-01-20,96.79,2017-01-20,2.44,2.55,130.0,0.28491
2016-01-20,96.79,2017-01-20,1.87,1.95,135.0,0.28341
2016-01-20,96.79,2017-01-20,1.42,1.51,140.0,0.28169
2016-01-20,96.79,2017-01-20,1.09,1.14,145.0,0.28029
2016-01-20,96.79,2017-01-20,0.83,0.88,150.0,0.27932
2016-01-20,96.79,2017-01-20,0.63,0.69,155.0,0.27974
2016-01-20,96.79,2017-01-20,0.49,0.53,160.0,0.2805
2016-01-20,96.79,2017-01-20,0.38,0.43,165.0,0.28215
2016-01-20,96.79,2017-01-20,0.3,0.34,170.0,0.28312
2016-01-20,96.79,2017-01-20,0.24,0.27,175.0,0.2844
2016-01-20,96.79,2017-01-20,0.17,0.22,180.0,0.2858
2016-01-20,96.79,2017-01-20,0.16,0.18,185.0,0.28905
2016-01-20,96.79,2017-01-20,0.12,0.17,190.0,0.29142
2016-01-20,96.79,2017-01-20,0.13,0.13,195.0,0.29688
