QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,96.79,2017-01-20,0.89,0.91,50.0,0.44126
2016-01-20,96.79,2017-01-20,1.26,1.29,55.0,0.42078
2016-01-20,96.79,2017-01-20,1.74,1.8,60.0,0.40352
2016-01-20,96.79,2017-01-20,2.4,2.49,65.0,0.38879
2016-01-20,96.79,2017-01-20,3.3,3.4,70.0,0.37716
2016-01-20,96.79,2017-01-20,4.4,4.49,75.0,0.36617
2016-01-20,96.79,2017-01-20,5.8,5.95,80.0,0.35755
2016-01-20,96.79,2017-01-20,7.5,7.65,85.0,0.34912
2016-01-20,96.79,2017-01-20,8.44,8.6,87.5,0.34493
2016-01-20,96.79,2017-01-20,9.55,9.65,90.0,0.34241
2016-01-20,96.79,2017-01-20,10.7,10.81,92.5,0.33994
2016-01-20,96.79,2017-01-20,11.9,12.04,95.0,0.33684
