QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000300,,0.000000,5x10,45.190000,45.510000,60.000000,0.000000,0.020000,0x699,0.000000,-0.001560,0.000240,0.000630,-0.007430,-0.000070,1.689400,,45.300000,0.430000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000420,,0.000000,5x10,40.200000,40.510000,65.000000,0.000000,0.020000,0x706,0.000000,-0.002090,0.000320,0.000710,-0.007530,-0.000300,1.463260,,40.300000,0.383000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000100,,0.000000,10x10,35.200000,35.490000,70.000000,0.000000,0.030000,0x702,0.000000,-0.002420,0.000420,0.001200,-0.007110,0.000000,1.254530,,35.300000,0.336000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000350,,0.000000,10x10,30.200000,30.510000,75.000000,0.000000,0.020000,0x798,0.000000,-0.002710,0.000620,0.001360,-0.006720,-0.000010,1.058940,,30.300000,0.288000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000130,,0.000000,10x11,25.190000,25.510000,80.000000,0.000000,0.010000,0x704,0.010000,-0.001420,0.000540,0.000200,-0.004050,0.000000,0.816050,,25.300000,0.241000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,66x11,20.200000,20.400000,85.000000,0.010000,0.030000,44x790,0.010000,-0.005060,0.001640,0.002070,-0.009440,-0.000460,0.727150,,20.300000,0.193000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,13.000000,15.200000,1322x924,15.200000,15.450000,90.000000,0.020000,0.030000,65x704,0.030000,-0.009870,0.003650,0.003740,-0.015240,-0.000300,0.587680,,15.300000,0.146000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000170,,0.000000,50x35,14.250000,14.450000,91.000000,0.010000,0.020000,61x80,0.030000,-0.011000,0.004190,0.003220,-0.015550,-0.000320,0.551720,396.000000,14.300000,0.136000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,11.050000,63x2,13.200000,13.450000,92.000000,0.020000,0.040000,421x804,0.050000,-0.012920,0.005120,0.004470,-0.017100,-0.000430,0.527570,944.000000,13.300000,0.127000
1451941200,2016-01-0416:00,2016-01-04,16.000000,105.350000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.000140,,0.000000,46x33,12.250000,12.460000,93.000000,0.030000,0.050000,420x790,0.070000,-0.016730,0.006780,0.004750,-0.022430,-0.000230,0.510490,356.000000,12.300000,0.117000
