QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS
2016-01-20,27.47,2017-01-20,11.8,13.4,15.0,0.47694,0.55
2016-01-20,27.47,2017-01-20,10.05,11.65,17.0,0.43358,0.62
2016-01-20,27.47,2017-01-20,,,18.0,0.68681,0.66
2016-01-20,27.47,2017-01-20,8.6,8.8,20.0,0.44151,0.73
2016-01-20,27.47,2017-01-20,7.15,7.4,22.0,0.42468,0.8
2016-01-20,27.47,2017-01-20,5.3,5.45,25.0,0.40081,0.91
2016-01-20,27.47,2017-01-20,4.25,4.4,27.0,0.38941,0.98
2016-01-20,27.47,2017-01-20,2.98,3.1,30.0,0.37618,1.09
2016-01-20,27.47,2017-01-20,1.6,1.68,35.0,0.36536,1.27
2016-01-20,27.47,2017-01-20,0.82,0.89,40.0,0.3585,1.46
