QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,27.47,2017-01-20,0.0,0.03,3.0,0.8835
2016-01-20,27.47,2017-01-20,0.02,0.06,5.0,0.76593
2016-01-20,27.47,2017-01-20,0.09,0.13,8.0,0.65333
2016-01-20,27.47,2017-01-20,0.16,0.21,10.0,0.59704
2016-01-20,27.47,2017-01-20,0.33,0.39,13.0,0.52839
2016-01-20,27.47,2017-01-20,0.51,0.57,15.0,0.49285
2016-01-20,27.47,2017-01-20,0.77,0.85,17.0,0.46659
2016-01-20,27.47,2017-01-20,,,18.0,0.4155
2016-01-20,27.47,2017-01-20,1.34,1.4,20.0,0.42839
2016-01-20,27.47,2017-01-20,1.89,1.96,22.0,0.41159
2016-01-20,27.47,2017-01-20,2.98,3.1,25.0,0.39107
2016-01-20,27.47,2017-01-20,3.9,4.0,27.0,0.37697
