QUOTE_UNIXTIME,QUOTE_READTIME,QUOTE_DATE,QUOTE_TIME_HOURS,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,P_BID,P_ASK,P_SIZE,P_LAST,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_IV,P_VOLUME,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,29x10,8.500000,11.850000,22.000000,0.000000,1.640000,0x27,0.000000,-0.114540,0.015740,0.006800,-0.252190,-0.000720,3.348420,,10.400000,0.320000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,96x50,7.500000,9.650000,23.000000,0.000000,0.560000,0x27,0.000000,-0.069430,0.016410,0.004500,-0.110610,-0.000740,2.218520,,9.400000,0.289000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,68x50,6.550000,8.650000,24.000000,0.000000,0.530000,0x21,0.000000,-0.074090,0.019390,0.005000,-0.102750,-0.000020,1.969550,,8.400000,0.259000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,80x22,6.100000,8.900000,24.500000,0.000000,0.530000,0x27,0.000000,-0.078530,0.021380,0.005220,-0.101250,-0.000720,1.862020,,7.900000,0.243000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,144x27,5.600000,7.900000,25.000000,0.000000,0.030000,0x1,0.000000,-0.011750,0.007930,0.000640,-0.009260,-0.000550,1.017320,,7.400000,0.228000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,166x49,5.150000,7.200000,25.500000,0.000000,0.500000,0x41,0.000000,-0.084790,0.025840,0.005650,-0.094470,0.000000,1.626260,,6.900000,0.212000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,105x29,4.650000,6.900000,26.000000,0.000000,0.500000,0x39,0.000000,-0.089490,0.028740,0.005620,-0.092910,-0.000470,1.524840,,6.400000,0.197000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,142x74,4.100000,6.350000,26.500000,0.000000,0.500000,0x37,0.000000,-0.095300,0.032250,0.005750,-0.091400,0.000000,1.423780,,5.900000,0.181000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,124x27,3.600000,5.850000,27.000000,0.000000,0.100000,0x4,0.120000,-0.036520,0.023730,0.003160,-0.025320,0.000000,0.908620,10.000000,5.400000,0.166000
1451941200,2016-01-0416:00,2016-01-04,16.000000,32.370000,2016-01-08,1452286800,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,,0.000000,157x32,3.100000,5.450000,27.500000,0.000000,0.500000,0x58,0.000000,-0.108480,0.041310,0.007290,-0.086740,-0.000160,1.222690,,4.900000,0.150000
