QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV,MONEYNESS
2016-01-20,1859.48,2017-01-20,902.5,907.51,925.0,,0.5
2016-01-20,1859.48,2017-01-20,878.61,883.69,950.0,,0.51
2016-01-20,1859.48,2017-01-20,854.9,859.91,975.0,,0.52
2016-01-20,1859.48,2017-01-20,831.3,836.2,1000.0,,0.54
2016-01-20,1859.48,2017-01-20,807.7,812.69,1025.0,,0.55
2016-01-20,1859.48,2017-01-20,784.29,789.2,1050.0,,0.56
2016-01-20,1859.48,2017-01-20,760.99,765.8,1075.0,,0.58
2016-01-20,1859.48,2017-01-20,737.7,742.49,1100.0,,0.59
2016-01-20,1859.48,2017-01-20,714.61,719.4,1125.0,,0.61
2016-01-20,1859.48,2017-01-20,691.6,696.4,1150.0,,0.62
2016-01-20,1859.48,2017-01-20,668.8,673.5,1175.0,,0.63
2016-01-20,1859.48,2017-01-20,646.1,650.7,1200.0,,0.65
2016-01-20,1859.48,2017-01-20,623.5,628.1,1225.0,,0.66
2016-01-20,1859.48,2017-01-20,601.1,605.6,1250.0,,0.67
2016-01-20,1859.48,2017-01-20,578.8,583.3,1275.0,,0.69
2016-01-20,1859.48,2017-01-20,556.69,561.2,1300.0,,0.7
2016-01-20,1859.48,2017-01-20,534.81,539.29,1325.0,0.26219,0.71
2016-01-20,1859.48,2017-01-20,513.1,517.5,1350.0,0.26545,0.73
2016-01-20,1859.48,2017-01-20,491.6,496.0,1375.0,0.26708,0.74
2016-01-20,1859.48,2017-01-20,470.29,474.59,1400.0,0.26759,0.75
2016-01-20,1859.48,2017-01-20,449.2,453.5,1425.0,0.26681,0.77
2016-01-20,1859.48,2017-01-20,428.4,432.6,1450.0,0.26499,0.78
2016-01-20,1859.48,2017-01-20,407.9,412.0,1475.0,0.26333,0.79
2016-01-20,1859.48,2017-01-20,387.6,391.7,1500.0,0.26134,0.81
2016-01-20,1859.48,2017-01-20,367.6,371.6,1525.0,0.25894,0.82
2016-01-20,1859.48,2017-01-20,347.91,351.9,1550.0,0.25628,0.83
2016-01-20,1859.48,2017-01-20,328.3,332.3,1575.0,0.25258,0.85
2016-01-20,1859.48,2017-01-20,309.29,313.19,1600.0,0.25017,0.86
2016-01-20,1859.48,2017-01-20,290.6,294.41,1625.0,0.24659,0.87
2016-01-20,1859.48,2017-01-20,272.29,276.11,1650.0,0.24325,0.89
2016-01-20,1859.48,2017-01-20,254.4,258.09,1675.0,0.23963,0.9
2016-01-20,1859.48,2017-01-20,237.1,240.7,1700.0,0.23579,0.91
2016-01-20,1859.48,2017-01-20,220.0,223.71,1725.0,0.23135,0.93
2016-01-20,1859.48,2017-01-20,203.5,207.1,1750.0,0.2278,0.94
2016-01-20,1859.48,2017-01-20,187.61,191.1,1775.0,0.22414,0.95
2016-01-20,1859.48,2017-01-20,171.8,175.2,1800.0,0.21938,0.97
2016-01-20,1859.48,2017-01-20,156.9,160.3,1825.0,0.21568,0.98
2016-01-20,1859.48,2017-01-20,142.59,145.91,1850.0,0.21182,0.99
2016-01-20,1859.48,2017-01-20,128.49,131.8,1875.0,0.20726,1.01
2016-01-20,1859.48,2017-01-20,115.5,118.6,1900.0,0.20243,1.02
2016-01-20,1859.48,2017-01-20,103.0,106.1,1925.0,0.19893,1.04
2016-01-20,1859.48,2017-01-20,91.2,94.29,1950.0,0.1946,1.05
2016-01-20,1859.48,2017-01-20,80.2,83.1,1975.0,0.18961,1.06
2016-01-20,1859.48,2017-01-20,70.0,72.91,2000.0,0.18595,1.08
2016-01-20,1859.48,2017-01-20,60.4,63.2,2025.0,0.18124,1.09
2016-01-20,1859.48,2017-01-20,51.4,54.1,2050.0,0.17713,1.1
