QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV,MONEYNESS,P_Midpoint,P_Spread
2016-01-20,1859.48,2017-01-20,61.61,64.3,1500.0,0.27366,0.81,62.955,-2.6899999999999977
2016-01-20,1859.48,2017-01-20,66.29,69.0,1525.0,0.26802,0.82,67.64500000000001,-2.7099999999999937
2016-01-20,1859.48,2017-01-20,76.4,79.31,1575.0,0.25853,0.85,77.855,-2.9099999999999966
2016-01-20,1859.48,2017-01-20,82.1,85.0,1600.0,0.25373,0.86,83.55,-2.9000000000000057
2016-01-20,1859.48,2017-01-20,116.5,119.7,1725.0,0.22977,0.93,118.1,-3.200000000000003
2016-01-20,1859.48,2017-01-20,142.29,145.61,1800.0,0.2146,0.97,143.95,-3.3200000000000216
2016-01-20,1859.48,2017-01-20,152.01,155.41,1825.0,0.2096,0.98,153.70999999999998,-3.4000000000000057
2016-01-20,1859.48,2017-01-20,162.39,165.89,1850.0,0.20556,0.99,164.14,-3.5
2016-01-20,1859.48,2017-01-20,173.29,176.81,1875.0,0.20086,1.01,175.05,-3.5200000000000102
2016-01-20,1859.48,2017-01-20,197.1,200.7,1925.0,0.19078,1.04,198.89999999999998,-3.5999999999999943
2016-01-20,1859.48,2017-01-20,237.9,241.8,2000.0,0.17491,1.08,239.85000000000002,-3.9000000000000057
2016-01-20,1859.48,2017-01-20,268.89,273.0,2050.0,0.16434,1.1,270.945,-4.110000000000014
2016-01-20,1859.48,2017-01-20,285.5,289.7,2075.0,0.1588,1.12,287.6,-4.199999999999989
2016-01-20,1859.48,2017-01-20,321.2,325.5,2125.0,0.14615,1.14,323.35,-4.300000000000011
2016-01-20,1859.48,2017-01-20,360.29,364.7,2175.0,0.13211,1.17,362.495,-4.409999999999968
2016-01-20,1859.48,2017-01-20,380.59,385.19,2200.0,0.12159,1.18,382.89,-4.600000000000023
2016-01-20,1859.48,2017-01-20,469.2,474.2,2300.0,-0.00037,1.24,471.7,-5.0
2016-01-20,1859.48,2017-01-20,492.79,497.8,2325.0,0.00022,1.25,495.295,-5.009999999999991
2016-01-20,1859.48,2017-01-20,540.1,545.3,2375.0,6e-05,1.28,542.7,-5.199999999999932
2016-01-20,1859.48,2017-01-20,588.81,594.01,2425.0,0.00059,1.3,591.41,-5.2000000000000455
2016-01-20,1859.48,2017-01-20,612.7,617.99,2450.0,0.0005,1.32,615.345,-5.289999999999964
2016-01-20,1859.48,2017-01-20,637.19,642.5,2475.0,0.00026,1.33,639.845,-5.309999999999945
