QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,1859.48,2017-01-20,0.11,0.15,100.0,0.95483
2016-01-20,1859.48,2017-01-20,0.05,0.25,200.0,0.73114
2016-01-20,1859.48,2017-01-20,0.09,1.34,300.0,0.69346
2016-01-20,1859.48,2017-01-20,0.15,1.6,400.0,0.59648
2016-01-20,1859.48,2017-01-20,0.19,2.0,500.0,0.52441
2016-01-20,1859.48,2017-01-20,0.4,2.4,550.0,0.50206
2016-01-20,1859.48,2017-01-20,0.8,2.86,600.0,0.4827
2016-01-20,1859.48,2017-01-20,1.5,3.4,650.0,0.46847
2016-01-20,1859.48,2017-01-20,2.05,4.1,700.0,0.45117
2016-01-20,1859.48,2017-01-20,2.9,4.9,750.0,0.43621
2016-01-20,1859.48,2017-01-20,3.9,5.79,800.0,0.42113
2016-01-20,1859.48,2017-01-20,4.51,6.6,825.0,0.41623
2016-01-20,1859.48,2017-01-20,5.2,7.2,850.0,0.41009
2016-01-20,1859.48,2017-01-20,5.9,7.99,875.0,0.40403
2016-01-20,1859.48,2017-01-20,6.71,8.81,900.0,0.39837
2016-01-20,1859.48,2017-01-20,7.59,9.6,925.0,0.39238
2016-01-20,1859.48,2017-01-20,8.5,10.6,950.0,0.38641
2016-01-20,1859.48,2017-01-20,9.51,11.6,975.0,0.38033
2016-01-20,1859.48,2017-01-20,10.6,12.7,1000.0,0.3751
2016-01-20,1859.48,2017-01-20,11.9,14.01,1025.0,0.36992
2016-01-20,1859.48,2017-01-20,13.1,15.2,1050.0,0.36336
2016-01-20,1859.48,2017-01-20,14.5,16.59,1075.0,0.35811
2016-01-20,1859.48,2017-01-20,16.1,18.2,1100.0,0.35314
2016-01-20,1859.48,2017-01-20,17.7,19.8,1125.0,0.34793
2016-01-20,1859.48,2017-01-20,19.4,21.51,1150.0,0.34241
2016-01-20,1859.48,2017-01-20,21.3,23.4,1175.0,0.3378
2016-01-20,1859.48,2017-01-20,23.4,25.5,1200.0,0.33225
2016-01-20,1859.48,2017-01-20,25.6,27.7,1225.0,0.32723
2016-01-20,1859.48,2017-01-20,27.81,30.01,1250.0,0.32272
2016-01-20,1859.48,2017-01-20,30.41,32.6,1275.0,0.31716
2016-01-20,1859.48,2017-01-20,32.91,35.21,1300.0,0.31236
2016-01-20,1859.48,2017-01-20,35.79,38.11,1325.0,0.30765
2016-01-20,1859.48,2017-01-20,38.8,41.21,1350.0,0.30266
2016-01-20,1859.48,2017-01-20,41.91,44.29,1375.0,0.29755
2016-01-20,1859.48,2017-01-20,45.5,47.89,1400.0,0.29263
2016-01-20,1859.48,2017-01-20,49.0,51.5,1425.0,0.28706
2016-01-20,1859.48,2017-01-20,53.0,55.6,1450.0,0.28334
2016-01-20,1859.48,2017-01-20,57.2,59.79,1475.0,0.2785
2016-01-20,1859.48,2017-01-20,61.61,64.3,1500.0,0.27366
2016-01-20,1859.48,2017-01-20,66.29,69.0,1525.0,0.26802
2016-01-20,1859.48,2017-01-20,71.1,73.89,1550.0,0.26297
2016-01-20,1859.48,2017-01-20,76.4,79.31,1575.0,0.25853
2016-01-20,1859.48,2017-01-20,82.1,85.0,1600.0,0.25373
2016-01-20,1859.48,2017-01-20,88.4,91.3,1625.0,0.24869
2016-01-20,1859.48,2017-01-20,94.79,97.7,1650.0,0.24447
2016-01-20,1859.48,2017-01-20,101.59,104.59,1675.0,0.23958
2016-01-20,1859.48,2017-01-20,108.51,111.6,1700.0,0.2342
2016-01-20,1859.48,2017-01-20,116.5,119.7,1725.0,0.22977
2016-01-20,1859.48,2017-01-20,124.4,127.61,1750.0,0.22459
2016-01-20,1859.48,2017-01-20,133.01,136.3,1775.0,0.21925
2016-01-20,1859.48,2017-01-20,142.29,145.61,1800.0,0.2146
2016-01-20,1859.48,2017-01-20,152.01,155.41,1825.0,0.2096
2016-01-20,1859.48,2017-01-20,162.39,165.89,1850.0,0.20556
