QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV
2016-01-20,198.7,2017-01-20,31.9,33.65,200.0,0.48345
2016-01-20,198.7,2017-01-20,27.96,29.8,210.0,0.47928
2016-01-20,198.7,2017-01-20,24.6,26.11,220.0,0.47427
2016-01-20,198.7,2017-01-20,21.55,24.29,230.0,0.48005
2016-01-20,198.7,2017-01-20,18.45,20.15,240.0,0.46509
2016-01-20,198.7,2017-01-20,15.8,17.35,250.0,0.45718
2016-01-20,198.7,2017-01-20,13.51,15.35,260.0,0.45443
2016-01-20,198.7,2017-01-20,11.79,13.41,270.0,0.45319
2016-01-20,198.7,2017-01-20,10.5,11.71,280.0,0.45227
2016-01-20,198.7,2017-01-20,8.55,10.26,290.0,0.44613
2016-01-20,198.7,2017-01-20,7.85,8.95,300.0,0.44854
2016-01-20,198.7,2017-01-20,6.9,7.86,310.0,0.44821
2016-01-20,198.7,2017-01-20,5.45,6.85,320.0,0.44057
2016-01-20,198.7,2017-01-20,4.35,6.0,330.0,0.43567
2016-01-20,198.7,2017-01-20,4.44,5.2,340.0,0.44243
2016-01-20,198.7,2017-01-20,3.29,4.44,350.0,0.43269
2016-01-20,198.7,2017-01-20,3.34,3.95,360.0,0.44087
2016-01-20,198.7,2017-01-20,2.93,3.51,370.0,0.44075
2016-01-20,198.7,2017-01-20,2.53,3.05,380.0,0.43919
2016-01-20,198.7,2017-01-20,2.18,2.69,390.0,0.43816
2016-01-20,198.7,2017-01-20,1.88,2.38,400.0,0.43768
2016-01-20,198.7,2017-01-20,1.24,2.16,410.0,0.42979
2016-01-20,198.7,2017-01-20,1.37,2.1,420.0,0.44169
2016-01-20,198.7,2017-01-20,1.02,1.71,430.0,0.43321
2016-01-20,198.7,2017-01-20,0.95,1.58,440.0,0.43696
2016-01-20,198.7,2017-01-20,0.83,1.46,450.0,0.43812
2016-01-20,198.7,2017-01-20,0.5,1.62,460.0,0.44085
2016-01-20,198.7,2017-01-20,0.28,1.51,470.0,0.43858
2016-01-20,198.7,2017-01-20,0.52,1.49,480.0,0.45392
2016-01-20,198.7,2017-01-20,0.5,1.35,490.0,0.45586
