QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,198.7,2017-01-20,0.3,0.49,25.0,0.96493
2016-01-20,198.7,2017-01-20,0.0,0.75,30.0,0.86818
2016-01-20,198.7,2017-01-20,0.2,0.9,35.0,0.84347
2016-01-20,198.7,2017-01-20,0.26,1.0,40.0,0.79493
2016-01-20,198.7,2017-01-20,0.42,1.69,45.0,0.80464
2016-01-20,198.7,2017-01-20,1.15,1.5,50.0,0.78194
2016-01-20,198.7,2017-01-20,1.22,2.17,55.0,0.76655
2016-01-20,198.7,2017-01-20,1.08,2.0,60.0,0.70163
2016-01-20,198.7,2017-01-20,1.25,4.4,65.0,0.75297
2016-01-20,198.7,2017-01-20,1.73,3.1,70.0,0.6796
2016-01-20,198.7,2017-01-20,2.46,3.8,75.0,0.67941
2016-01-20,198.7,2017-01-20,3.2,3.74,80.0,0.65546
2016-01-20,198.7,2017-01-20,3.75,4.86,85.0,0.65325
2016-01-20,198.7,2017-01-20,4.35,4.95,90.0,0.6282
2016-01-20,198.7,2017-01-20,5.1,5.65,95.0,0.6172
2016-01-20,198.7,2017-01-20,5.84,6.34,100.0,0.60371
2016-01-20,198.7,2017-01-20,6.7,7.3,105.0,0.595
2016-01-20,198.7,2017-01-20,7.65,8.86,110.0,0.59444
2016-01-20,198.7,2017-01-20,8.65,9.65,115.0,0.58117
2016-01-20,198.7,2017-01-20,9.8,11.15,120.0,0.57652
2016-01-20,198.7,2017-01-20,10.96,12.85,125.0,0.57322
2016-01-20,198.7,2017-01-20,12.31,13.65,130.0,0.55961
2016-01-20,198.7,2017-01-20,13.8,15.21,135.0,0.55367
2016-01-20,198.7,2017-01-20,15.15,16.65,140.0,0.54449
2016-01-20,198.7,2017-01-20,16.8,18.36,145.0,0.53789
2016-01-20,198.7,2017-01-20,18.55,19.94,150.0,0.53022
2016-01-20,198.7,2017-01-20,20.4,21.31,155.0,0.52039
2016-01-20,198.7,2017-01-20,22.2,23.35,160.0,0.51423
2016-01-20,198.7,2017-01-20,24.55,25.8,165.0,0.51357
2016-01-20,198.7,2017-01-20,26.7,28.05,170.0,0.50896
2016-01-20,198.7,2017-01-20,27.7,30.36,175.0,0.49457
2016-01-20,198.7,2017-01-20,30.25,32.75,180.0,0.49117
2016-01-20,198.7,2017-01-20,33.89,35.3,185.0,0.49398
2016-01-20,198.7,2017-01-20,36.25,38.45,190.0,0.49128
2016-01-20,198.7,2017-01-20,39.16,40.6,195.0,0.48464
