QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,C_BID,C_ASK,STRIKE,C_IV
2016-01-20,1859.48,2017-01-20,407.9,412.0,1475.0,0.26333
2016-01-20,1859.48,2017-01-20,387.6,391.7,1500.0,0.26134
2016-01-20,1859.48,2017-01-20,367.6,371.6,1525.0,0.25894
2016-01-20,1859.48,2017-01-20,347.91,351.9,1550.0,0.25628
2016-01-20,1859.48,2017-01-20,328.3,332.3,1575.0,0.25258
2016-01-20,1859.48,2017-01-20,309.29,313.19,1600.0,0.25017
2016-01-20,1859.48,2017-01-20,290.6,294.41,1625.0,0.24659
2016-01-20,1859.48,2017-01-20,272.29,276.11,1650.0,0.24325
2016-01-20,1859.48,2017-01-20,254.4,258.09,1675.0,0.23963
2016-01-20,1859.48,2017-01-20,237.1,240.7,1700.0,0.23579
2016-01-20,1859.48,2017-01-20,220.0,223.71,1725.0,0.23135
2016-01-20,1859.48,2017-01-20,203.5,207.1,1750.0,0.2278
2016-01-20,1859.48,2017-01-20,187.61,191.1,1775.0,0.22414
2016-01-20,1859.48,2017-01-20,171.8,175.2,1800.0,0.21938
2016-01-20,1859.48,2017-01-20,156.9,160.3,1825.0,0.21568
2016-01-20,1859.48,2017-01-20,142.59,145.91,1850.0,0.21182
2016-01-20,1859.48,2017-01-20,128.49,131.8,1875.0,0.20726
2016-01-20,1859.48,2017-01-20,115.5,118.6,1900.0,0.20243
2016-01-20,1859.48,2017-01-20,103.0,106.1,1925.0,0.19893
2016-01-20,1859.48,2017-01-20,91.2,94.29,1950.0,0.1946
2016-01-20,1859.48,2017-01-20,80.2,83.1,1975.0,0.18961
2016-01-20,1859.48,2017-01-20,70.0,72.91,2000.0,0.18595
2016-01-20,1859.48,2017-01-20,60.4,63.2,2025.0,0.18124
2016-01-20,1859.48,2017-01-20,51.4,54.1,2050.0,0.17713
2016-01-20,1859.48,2017-01-20,43.51,46.2,2075.0,0.17332
2016-01-20,1859.48,2017-01-20,36.19,38.7,2100.0,0.16809
2016-01-20,1859.48,2017-01-20,29.7,32.1,2125.0,0.1643
2016-01-20,1859.48,2017-01-20,24.11,26.5,2150.0,0.15998
2016-01-20,1859.48,2017-01-20,19.21,21.39,2175.0,0.15585
2016-01-20,1859.48,2017-01-20,15.21,17.3,2200.0,0.15195
2016-01-20,1859.48,2017-01-20,11.7,13.8,2225.0,0.14872
2016-01-20,1859.48,2017-01-20,8.89,11.0,2250.0,0.14518
