QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,P_BID,P_ASK,STRIKE,P_IV
2016-01-20,1859.48,2017-01-20,11.9,14.01,1025.0,0.36992
2016-01-20,1859.48,2017-01-20,13.1,15.2,1050.0,0.36336
2016-01-20,1859.48,2017-01-20,14.5,16.59,1075.0,0.35811
2016-01-20,1859.48,2017-01-20,16.1,18.2,1100.0,0.35314
2016-01-20,1859.48,2017-01-20,17.7,19.8,1125.0,0.34793
2016-01-20,1859.48,2017-01-20,19.4,21.51,1150.0,0.34241
2016-01-20,1859.48,2017-01-20,21.3,23.4,1175.0,0.3378
2016-01-20,1859.48,2017-01-20,23.4,25.5,1200.0,0.33225
2016-01-20,1859.48,2017-01-20,25.6,27.7,1225.0,0.32723
2016-01-20,1859.48,2017-01-20,27.81,30.01,1250.0,0.32272
2016-01-20,1859.48,2017-01-20,30.41,32.6,1275.0,0.31716
2016-01-20,1859.48,2017-01-20,32.91,35.21,1300.0,0.31236
2016-01-20,1859.48,2017-01-20,35.79,38.11,1325.0,0.30765
2016-01-20,1859.48,2017-01-20,38.8,41.21,1350.0,0.30266
2016-01-20,1859.48,2017-01-20,41.91,44.29,1375.0,0.29755
2016-01-20,1859.48,2017-01-20,45.5,47.89,1400.0,0.29263
2016-01-20,1859.48,2017-01-20,49.0,51.5,1425.0,0.28706
2016-01-20,1859.48,2017-01-20,53.0,55.6,1450.0,0.28334
2016-01-20,1859.48,2017-01-20,57.2,59.79,1475.0,0.2785
2016-01-20,1859.48,2017-01-20,61.61,64.3,1500.0,0.27366
2016-01-20,1859.48,2017-01-20,66.29,69.0,1525.0,0.26802
2016-01-20,1859.48,2017-01-20,71.1,73.89,1550.0,0.26297
2016-01-20,1859.48,2017-01-20,76.4,79.31,1575.0,0.25853
2016-01-20,1859.48,2017-01-20,82.1,85.0,1600.0,0.25373
2016-01-20,1859.48,2017-01-20,88.4,91.3,1625.0,0.24869
2016-01-20,1859.48,2017-01-20,94.79,97.7,1650.0,0.24447
2016-01-20,1859.48,2017-01-20,101.59,104.59,1675.0,0.23958
2016-01-20,1859.48,2017-01-20,108.51,111.6,1700.0,0.2342
2016-01-20,1859.48,2017-01-20,116.5,119.7,1725.0,0.22977
2016-01-20,1859.48,2017-01-20,124.4,127.61,1750.0,0.22459
2016-01-20,1859.48,2017-01-20,133.01,136.3,1775.0,0.21925
2016-01-20,1859.48,2017-01-20,142.29,145.61,1800.0,0.2146
2016-01-20,1859.48,2017-01-20,152.01,155.41,1825.0,0.2096
2016-01-20,1859.48,2017-01-20,162.39,165.89,1850.0,0.20556
